"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Mäki Sami / IP / Helsingin vaalipiiri";17;73.059;3
"Hyrskylahti Sami / IP / Helsingin vaalipiiri";14;69.000;3
"Pantsari-Virta Ilmi / IP / Helsingin vaalipiiri";8;65.368;3
"Pennanen Petrus / Piraattip. / Helsingin vaalipiiri";1972;5119.000;3
"Ahola Amos / Piraattip. / Helsingin vaalipiiri";726;2559.500;3
"Plommer Raoul / Piraattip. / Helsingin vaalipiiri";346;1706.333;3
"Apajalahti Ahto / Piraattip. / Helsingin vaalipiiri";247;1279.750;3
"Hautakangas Ville / Piraattip. / Helsingin vaalipiiri";246;1023.800;3
"Pulliainen Miro / Piraattip. / Helsingin vaalipiiri";222;853.167;3
"Virtanen Juha / Piraattip. / Helsingin vaalipiiri";200;731.286;3
"Kähärä Juhani / Piraattip. / Helsingin vaalipiiri";198;639.875;3
"Aronen Matti / Piraattip. / Helsingin vaalipiiri";165;568.778;3
"Oinonen Juha / Piraattip. / Helsingin vaalipiiri";138;511.900;3
"Somero Jani / Piraattip. / Helsingin vaalipiiri";101;465.364;3
"Miettinen Essi / Piraattip. / Helsingin vaalipiiri";100;426.583;3
"Salmela Mira / Piraattip. / Helsingin vaalipiiri";81;393.769;3
"Jarva Karelia / Piraattip. / Helsingin vaalipiiri";73;365.643;3
"Grön Pipsa / Piraattip. / Helsingin vaalipiiri";64;341.267;3
"Immonen Satu / Piraattip. / Helsingin vaalipiiri";64;319.938;3
"Mäkinen Joonas / Piraattip. / Helsingin vaalipiiri";46;301.118;3
"Merikanto Len / Piraattip. / Helsingin vaalipiiri";45;284.389;3
"Hukkinen Janne / Piraattip. / Helsingin vaalipiiri";29;269.421;3
"Immonen Joni / Piraattip. / Helsingin vaalipiiri";29;255.950;3
"Berschewsky Mitol / Piraattip. / Helsingin vaalipiiri";21;243.762;3
"Kinnunen Tino / Piraattip. / Helsingin vaalipiiri";6;232.682;3
"Savola Terttu / KA / Helsingin vaalipiiri";328;962.143;3
"Kreisler Kristiina / Muut / Helsingin vaalipiiri";314;314.000;3
"Leinonen Jani / Muut / Helsingin vaalipiiri";168;168.000;3
"Sjöström Kim / Muut / Helsingin vaalipiiri";114;114.000;3
"Yilmaz Yakup / Muut / Helsingin vaalipiiri";93;93.000;3
"Punto Ville / Muut / Helsingin vaalipiiri";73;73.000;3
"Helminen Jyrki / Muut / Helsingin vaalipiiri";38;38.000;3
"Katajisto Jaakko / Muut / Helsingin vaalipiiri";12;12.000;3
"Rinne Antti / SDP / Uudenmaan vaalipiiri";12147;86462.000;1
"Lindtman Antti / SDP / Uudenmaan vaalipiiri";10687;43231.000;1
"Feldt-Ranta Maarit / SDP / Uudenmaan vaalipiiri";8749;28820.667;1
"Guzenina Maria / SDP / Uudenmaan vaalipiiri";7827;21615.500;1
"Harakka Timo / SDP / Uudenmaan vaalipiiri";5497;17292.400;1
"Räsänen Joona / SDP / Uudenmaan vaalipiiri";5024;14410.333;1
"Kiljunen Kimmo / SDP / Uudenmaan vaalipiiri";3861;12351.714;2
"Kuusisto Merja / SDP / Uudenmaan vaalipiiri";3111;10807.750;3
